category_large,data_id,name,price
ALCOHOL,210,페로니나스트라즈로(병),1000
ALCOHOL,211,크루저블루베리향(병),1000
ALCOHOL,212,다다(병),1000
ALCOHOL,213,크롬바커필스알코올프라이(무알콜)(병),1000
ALCOHOL,214,사이공스페셜(병),1000
ALCOHOL,215,벨코포포빅키코젤다크(캔),1000
ALCOHOL,216,스텔라아르투아(캔),1000
ALCOHOL,217,페로니나스트라즈로(캔),1000
ALCOHOL,218,호랄프리미엄필스너라거(캔),1000
ALCOHOL,219,롱보드아일랜드라거(캔),1000
ALCOHOL,220,클라우스탈러(병),1000
ALCOHOL,221,바바바맥주(캔),1000
ALCOHOL,222,스텔라아르투아(캔),1000
ALCOHOL,223,충북맑은바람360ML,1000
ALCOHOL,224,프리미어오비640ML,1000
ALCOHOL,225,호프야거바이젠비어,1000
ALCOHOL,226,홉고블린 골드 500ML,1000
ALCOHOL,227,프리미어오비355ml,1000
ALCOHOL,228,페로니나스트라즈로(캔),1000
ALCOHOL,229,코로나엑스트라(캔),1000
ALCOHOL,230,크롬바커(캔),1000
ALCOHOL,231,홉고블린(캔),1000
ALCOHOL,232,주부르그랜드(캔),1000
ALCOHOL,233,에드워드러시안베어파인애플향,1000
ALCOHOL,234,칭따오논알콜릭,1000
ALCOHOL,235,장샤오바이 강소백,1000
ALCOHOL,236,비어케이칭따오맥주200ML,1000
CAFFEINE,237,대한다업순작유기농옥수수수염차,1000
CAFFEINE,238,산들 노니 140G,1000
CAFFEINE,239,산들 계피 180G,1000
CAFFEINE,240,산들 차가버섯 120G,1000
CAFFEINE,241,산들 볶음돼지감자 140G,1000
CAFFEINE,242,양파껍질차24G,1000
CAFFEINE,243,트룽 G7블랙커피 15T 30G,1000
CAFFEINE,244,트와이닝 레몬보이차 25T 50G,1000
CAFFEINE,245,파워루트_알리카페카푸치노_10T 200G,1000
CAFFEINE,246,롯데마트)루이보스차,1000
CAFFEINE,247,롯데쇼핑)페퍼민트차미국산(OEM)20T,1000
CAFFEINE,248,카페드롭탑더치아메리카노20G,1000
CAFFEINE,249,캐모마일 현미녹차 40T,1000
CAFFEINE,250,미가방주식회사제티초콕바나나맛,1000
CAFFEINE,251,미가방주식회사제티초콕딸기맛,1000
DRINKS,252,ATG컴퍼니)푸룬주스,1000
HMR,253,롯데쇼핑)바쏘포도씨유,1000
SNACK,254,CJ 쁘띠첼 구미젤리포도 50G,1000
